		(0.099)	(0.13)	(0.20)	(0.17)	(0.098)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.098)	(0.10)	(0.095)				(0.11)	(0.097)	(0.12)	(0.13)																							(0.17)
1.period	Period = 1, pre-1750				-0.025																												-0.073	-0.072	-0.088	-0.088	-0.18**	-0.063	-0.088	-0.088	-0.069	-0.073	-0.072	-0.060	-0.088	-0.072
					(0.085)																												(0.084)	(0.084)	(0.083)	(0.083)	(0.075)	(0.083)	(0.083)	(0.083)	(0.086)	(0.084)	(0.084)	(0.073)	(0.078)	(0.087)
3.period	Period = 3, 1776-1800				0.14***																												0.17**	0.16**	0.22***	0.22***	0.19***	0.18**	0.22	0.22***	0.19***	0.17**	0.16**	0.10	0.22*	0.17***
					(0.048)																												(0.071)	(0.072)	(0.070)	(0.070)	(0.064)	(0.072)	(0.14)	(0.070)	(0.072)	(0.071)	(0.072)	(0.062)	(0.13)	(0.063)
4.period	Period = 4, post-1800				0.13																												0.41**	0.40**	0.54***	0.54***	0.25	0.40**	0.54**	0.54***	0.36**	0.41**	0.40**	0.40***	0.54***	0.33**
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.16)	(0.26)	(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.20)	(0.16)
YEARAF	Year departed Africa (imputed)		0.0034**	0.048																			0.0027	0.0045**	0.0050**	0.0044**	0.0048**	0.0039*	0.0039*	0.011***	0.010***	0.0098***														
			(0.0015)	(0.21)																			(0.0016)	(0.0020)	(0.0022)	(0.0020)	(0.0022)	(0.0020)	(0.0020)	(0.0021)	(0.0021)	(0.0023)														
yearsq	yearsq			-0.000013																																										
				(0.000061)																																										
war	War involving own nationality					0.061																	0.042	0.045	0.049	0.050	0.064	0.051	0.051	0.087	0.069	0.071	0.045	0.044	0.061	0.061	0.029	0.074	0.061	0.061	0.073	0.045	0.044	0.033	0.061	0.019
						(0.053)																	(0.054)	(0.056)	(0.058)	(0.058)	(0.060)	(0.060)	(0.060)	(0.057)	(0.055)	(0.057)	(0.061)	(0.060)	(0.060)	(0.060)	(0.054)	(0.061)	(0.059)	(0.060)	(0.061)	(0.061)	(0.060)	(0.052)	(0.056)	(0.057)
neutral	Neutrality of own nation					0.100**																	0.075	0.066	0.053	0.055	0.064	0.067	0.067	-0.0034	0.0065	-0.018	-0.014	-0.011	-0.019	-0.019	0.0071	0.035	-0.019	-0.019	-0.0074	-0.014	-0.011	0.040	-0.019	0.035
						(0.050)																	(0.052)	(0.055)	(0.057)	(0.057)	(0.058)	(0.058)	(0.058)	(0.054)	(0.052)	(0.056)	(0.066)	(0.066)	(0.065)	(0.065)	(0.058)	(0.066)	(0.080)	(0.065)	(0.067)	(0.066)	(0.066)	(0.057)	(0.075)	(0.063)
pricemarkup	Slave price markup between America and Africa						0.013																	0.038	0.030	0.034	0.020	0.028	0.028	0.051**	0.044*	0.041	0.0012	0.0025	-0.0075	-0.0075	-0.0017		-0.0075	-0.0075	-0.0079	0.0012	0.0025	-0.020	-0.0075	
							(0.019)																	(0.023)	(0.025)	(0.025)	(0.026)	(0.026)	(0.026)	(0.024)	(0.023)	(0.025)	(0.023)	(0.023)	(0.022)	(0.022)	(0.020)		(0.022)	(0.022)	(0.023)	(0.023)	(0.023)	(0.020)	(0.021)	
captain_experience_d	Not the first voyage of the captain							0.057																				0.085*	0.085*	0.068	0.060	0.062	0.065	0.062	0.080*	0.080*	0.085**	0.096*	0.080*	0.080*	0.091*	0.065	0.062	0.069*	0.080*	
								(0.047)																				(0.047)	(0.047)	(0.045)	(0.044)	(0.046)	(0.047)	(0.047)	(0.046)	(0.046)	(0.042)	(0.049)	(0.044)	(0.046)	(0.048)	(0.047)	(0.047)	(0.041)	(0.041)	
captain_experience	(min) captain_experience								0.0067																		0.0077																			
									(0.0090)																		(0.0089)																			
captain_total_career	(min) captain_total_career									0.0077																																				
										(0.0059)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.058															0.035		0.017	0.017	0.050	0.0044	0.028	0.028	0.031	0.0098	0.0098	0.023	0.019	0.0098	0.0098	-0.012	0.028	0.031	-0.014	0.0098	
											(0.065)															(0.065)		(0.066)	(0.066)	(0.062)	(0.060)	(0.065)	(0.067)	(0.067)	(0.066)	(0.066)	(0.059)	(0.066)	(0.062)	(0.066)	(0.068)	(0.067)	(0.067)	(0.058)	(0.058)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00042													-0.00078		-0.0014																			
												(0.0010)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.00079																																	
													(0.00098)																																	
1.perspective	Perspective of source = 1, Captain													-0.48																																
														(0.33)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.35																																
														(0.43)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.14***															-0.031	-0.020	-0.00067	0.0074				1.20***					0.0074				
															(0.051)															(0.052)	(0.050)	(0.061)	(0.064)				(0.17)					(0.064)				
MORTALITY	Enslaved person mortality rate															-1.11***			-1.17***												-1.12***	-1.16***	-1.19***	-1.20***	-1.14***	-1.14***	-1.37***		-1.14***	-1.14***	-1.02***	-1.19***	-1.20***	-1.12***	-1.14***	
																(0.27)			(0.27)												(0.25)	(0.26)	(0.27)	(0.27)	(0.26)	(0.26)	(0.24)		(0.23)	(0.26)	(0.27)	(0.27)	(0.27)	(0.23)	(0.21)	
crowd	Number of embarked enslaved persons per ton																0.083*	0.083*	0.078*													-0.015	-0.042	-0.033	0.0079	0.0079	-0.20***		0.0079	0.0079	0.11**	-0.042	-0.033	-0.013	0.0079	
																	(0.043)	(0.043)	(0.042)													(0.053)	(0.054)	(0.048)	(0.049)	(0.049)	(0.074)		(0.088)	(0.049)	(0.044)	(0.054)	(0.048)	(0.043)	(0.062)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.089**															-0.16***	-0.16***	-1.15***	-0.19	-0.16	-0.16***	-0.26***			-0.074	-0.16	-0.17***
																				(0.040)															(0.054)	(0.054)	(0.13)	(0.14)	(0.14)	(0.054)	(0.051)			(0.048)	(0.11)	(0.044)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.077***									-0.12***	-0.12***	-0.13***	-0.12***	-0.12***	-0.096***	-0.096***	0.18***		-0.096	-0.096***		-0.12***	-0.12***	-0.088***	-0.096*	
																					(0.015)									(0.018)	(0.017)	(0.020)	(0.021)	(0.020)	(0.022)	(0.022)	(0.039)		(0.083)	(0.022)		(0.021)	(0.020)	(0.019)	(0.049)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.19																								
																						(0.13)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.10																								
																						(0.14)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.050																								
																						(0.11)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.070																								
																						(0.12)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.092																								
																						(0.12)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.054																								
																						(0.099)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.028																								
																						(0.10)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.29																								
																						(0.40)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.00016			0.00024	0.00030					0.00016			
																																		(0.00034)			(0.00052)	(0.00070)					(0.00034)			
totalnetexpperton	totalnetexpperton																																					-0.000046								
																																						(0.000038)								
Constant	Constant	0.079***	-6.00**	-45.3	0.044	0.047	0.031	0.029	0.054	0.020	0.028	0.074**	0.058	-0.13	-0.70**	0.23***	-0.055	-0.055	0.12	1.25**	0.27***	0.13	-4.64	-7.98**	-8.81**	-7.81**	-8.61**	-7.12*	-7.12*	-20.0***	-17.9***	-16.9***	0.44	0.44**	2.52***	2.52***	8.56***	2.60	2.52	2.52***	3.39***	0.44	0.44**	1.43**	2.52*	2.25***
		(0.027)	(2.70)	(190)	(0.030)	(0.033)	(0.072)	(0.045)	(0.038)	(0.049)	(0.062)	(0.030)	(0.037)	(0.18)	(0.28)	(0.047)	(0.073)	(0.073)	(0.080)	(0.53)	(0.047)	(0.094)	(2.84)	(3.52)	(3.93)	(3.63)	(3.96)	(3.67)	(3.67)	(3.75)	(3.64)	(4.00)	(0.37)	(0.18)	(0.69)	(0.69)	(0.97)	(1.58)	(1.62)	(0.69)	(0.69)	(0.37)	(0.18)	(0.62)	(1.39)	(0.58)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
R-squared		0.069	0.081	0.081	0.091	0.080	0.003	0.082	0.080	0.083	0.049	0.047	0.049	0.087	0.103	0.128	0.020	0.020	0.074	0.081	0.150	0.098	0.087	0.036	0.034	0.034	0.041	0.045	0.045	0.195	0.243	0.229	0.205	0.205	0.230	0.230	0.391	0.135	0.230	0.230	0.176	0.205	0.205	0.198	0.230	0.125
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
