		(0.098)	(0.13)	(0.20)	(0.18)	(0.098)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.098)	(0.10)	(0.095)				(0.11)	(0.096)	(0.13)	(0.13)																							(0.18)
1.period	Period = 1, pre-1750				-0.043																												-0.094	-0.095	-0.11	-0.11	-0.18**	-0.081	-0.11	-0.11	-0.096	-0.094	-0.095	-0.082	-0.11	-0.092
					(0.090)																												(0.090)	(0.090)	(0.088)	(0.088)	(0.081)	(0.087)	(0.078)	(0.088)	(0.091)	(0.090)	(0.090)	(0.076)	(0.073)	(0.092)
3.period	Period = 3, 1776-1800				0.098*																												0.17**	0.17**	0.21***	0.21***	0.19***	0.18**	0.21	0.21***	0.19***	0.17**	0.17**	0.088	0.21	0.13*
					(0.053)																												(0.072)	(0.073)	(0.070)	(0.070)	(0.066)	(0.074)	(0.14)	(0.070)	(0.072)	(0.072)	(0.073)	(0.062)	(0.13)	(0.067)
4.period	Period = 4, post-1800				0.13																												0.43**	0.42**	0.54***	0.54***	0.29*	0.42**	0.54**	0.54***	0.37**	0.43**	0.42**	0.39***	0.54***	0.32*
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.16)	(0.16)	(0.27)	(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.21)	(0.16)
YEARAF	Year departed Africa (imputed)		0.0027*	0.099																			0.0022	0.0038*	0.0031	0.0033	0.0031	0.0028	0.0028	0.010***	0.0095***	0.0099***														
			(0.0016)	(0.22)																			(0.0017)	(0.0020)	(0.0023)	(0.0021)	(0.0023)	(0.0021)	(0.0021)	(0.0022)	(0.0022)	(0.0023)														
yearsq	yearsq			-0.000027																																										
				(0.000062)																																										
war	War involving own nationality					0.040																	0.024	0.013	0.022	0.022	0.035	0.027	0.027	0.070	0.053	0.055	0.029	0.028	0.045	0.045	0.024	0.052	0.045	0.045	0.053	0.029	0.028	0.016	0.045	0.011
						(0.054)																	(0.056)	(0.056)	(0.058)	(0.058)	(0.060)	(0.060)	(0.060)	(0.057)	(0.056)	(0.058)	(0.062)	(0.062)	(0.061)	(0.061)	(0.056)	(0.063)	(0.059)	(0.061)	(0.062)	(0.062)	(0.062)	(0.052)	(0.056)	(0.059)
neutral	Neutrality of own nation					0.077																	0.057	0.054	0.048	0.043	0.062	0.060	0.060	-0.0088	-0.00092	-0.0072	0.0015	0.0014	-0.00049	-0.00049	0.026	0.050	-0.00049	-0.00049	0.012	0.0015	0.0014	0.064	-0.00049	0.044
						(0.056)																	(0.058)	(0.059)	(0.061)	(0.060)	(0.061)	(0.061)	(0.061)	(0.058)	(0.056)	(0.058)	(0.069)	(0.070)	(0.068)	(0.068)	(0.063)	(0.070)	(0.086)	(0.068)	(0.070)	(0.069)	(0.070)	(0.059)	(0.080)	(0.069)
pricemarkup	Slave price markup between America and Africa						0.0096																	0.033	0.022	0.024	0.011	0.015	0.015	0.039	0.034	0.036	-0.0031	-0.0026	-0.011	-0.011	-0.0045		-0.011	-0.011	-0.012	-0.0031	-0.0026	-0.024	-0.011	
							(0.019)																	(0.024)	(0.025)	(0.025)	(0.026)	(0.026)	(0.026)	(0.025)	(0.024)	(0.025)	(0.024)	(0.024)	(0.023)	(0.023)	(0.021)		(0.023)	(0.023)	(0.024)	(0.024)	(0.024)	(0.020)	(0.022)	
captain_experience_d	Not the first voyage of the captain							0.0069																				0.053	0.053	0.041	0.037	0.037	0.039	0.039	0.050	0.050	0.065	0.070	0.050	0.050	0.057	0.039	0.039	0.039	0.050	
								(0.050)																				(0.050)	(0.050)	(0.047)	(0.046)	(0.048)	(0.049)	(0.049)	(0.048)	(0.048)	(0.044)	(0.051)	(0.047)	(0.048)	(0.049)	(0.049)	(0.049)	(0.041)	(0.042)	
captain_experience	(min) captain_experience								0.0025																		0.0048																			
									(0.0094)																		(0.0092)																			
captain_total_career	(min) captain_total_career									0.0049																																				
										(0.0061)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.073															0.044		0.025	0.025	0.059	0.018	0.020	0.022	0.023	0.0037	0.0037	0.013	0.0082	0.0037	0.0037	-0.016	0.022	0.023	-0.019	0.0037	
											(0.068)															(0.068)		(0.069)	(0.069)	(0.064)	(0.063)	(0.066)	(0.067)	(0.068)	(0.066)	(0.066)	(0.061)	(0.066)	(0.062)	(0.066)	(0.068)	(0.067)	(0.068)	(0.057)	(0.058)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.0011													0.00032		-0.00041																			
												(0.0011)													(0.0012)		(0.0013)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.0032***																																	
													(0.0011)																																	
1.perspective	Perspective of source = 1, Captain													-0.39																																
														(0.40)																																
3.perspective	Perspective of source = 3, Investor													0.11																																
														(0.28)																																
4.perspective	Perspective of source = 4, Owner													0.44																																
														(0.49)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															-0.016	-0.010	-0.027	-0.019				1.09***					-0.019				
															(0.052)															(0.052)	(0.050)	(0.062)	(0.064)				(0.17)					(0.064)				
MORTALITY	Enslaved person mortality rate															-1.05***			-1.09***												-1.06***	-1.05***	-1.06***	-1.07***	-1.02***	-1.02***	-1.24***		-1.02***	-1.02***	-0.92***	-1.06***	-1.07***	-1.00***	-1.02***	
																(0.28)			(0.28)												(0.26)	(0.27)	(0.27)	(0.28)	(0.27)	(0.27)	(0.25)		(0.22)	(0.27)	(0.27)	(0.27)	(0.28)	(0.23)	(0.21)	
crowd	Number of embarked enslaved persons per ton																0.10**	0.10**	0.094**													0.029	0.0018	-0.0078	0.043	0.043	-0.17**		0.043	0.043	0.14***	0.0018	-0.0078	0.023	0.043	
																	(0.043)	(0.043)	(0.042)													(0.055)	(0.055)	(0.049)	(0.049)	(0.049)	(0.077)		(0.089)	(0.049)	(0.044)	(0.055)	(0.049)	(0.042)	(0.060)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.087**															-0.16***	-0.16***	-1.01***	-0.15	-0.16	-0.16***	-0.25***			-0.074	-0.16	-0.16***
																				(0.041)															(0.054)	(0.054)	(0.13)	(0.14)	(0.14)	(0.054)	(0.050)			(0.047)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.077***									-0.12***	-0.12***	-0.12***	-0.12***	-0.11***	-0.086***	-0.086***	0.15***		-0.086	-0.086***		-0.12***	-0.11***	-0.077***	-0.086*	
																					(0.017)									(0.020)	(0.019)	(0.020)	(0.021)	(0.020)	(0.022)	(0.022)	(0.039)		(0.086)	(0.022)		(0.021)	(0.020)	(0.019)	(0.048)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.068																								
																						(0.14)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.17																								
																						(0.15)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					0.028																								
																						(0.12)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					0.0036																								
																						(0.14)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					0.016																								
																						(0.14)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					0.031																								
																						(0.11)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					0.071																								
																						(0.12)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	-0.000044			-0.000038	-0.000094					-0.000044			
																																		(0.00035)			(0.00055)	(0.00072)					(0.00035)			
totalnetexpperton	totalnetexpperton																																					-0.000044								
																																						(0.000039)								
Constant	Constant	0.096***	-4.75*	-89.5	0.071**	0.073**	0.061	0.081*	0.080**	0.054	0.029	0.080***	0.012	-0.016	-0.63**	0.24***	-0.069	-0.069	0.095	1.24**	0.28***	0.058	-3.90	-6.68*	-5.48	-5.93	-5.46	-5.04	-5.04	-18.0***	-16.5***	-17.1***	0.53	0.45**	2.47***	2.47***	7.50***	2.06	2.47	2.47***	3.24***	0.53	0.45**	1.38**	2.47*	2.10***
		(0.027)	(2.79)	(193)	(0.031)	(0.034)	(0.072)	(0.047)	(0.038)	(0.050)	(0.064)	(0.030)	(0.039)	(0.28)	(0.29)	(0.049)	(0.073)	(0.073)	(0.081)	(0.54)	(0.051)	(0.11)	(2.94)	(3.61)	(4.10)	(3.70)	(4.15)	(3.76)	(3.76)	(3.95)	(3.84)	(4.10)	(0.36)	(0.18)	(0.68)	(0.68)	(0.97)	(1.57)	(1.61)	(0.68)	(0.67)	(0.36)	(0.18)	(0.60)	(1.37)	(0.60)
																																														
Observations		347	347	347	347	347	329	308	308	308	319	319	319	347	304	303	273	273	272	347	304	304	347	329	306	306	285	285	285	279	278	270	270	270	270	270	270	275	270	270	270	270	270	269	270	347
R-squared		0.178	0.185	0.185	0.188	0.183	0.040	0.188	0.188	0.190	0.142	0.141	0.161	0.187	0.218	0.233	0.047	0.047	0.089	0.188	0.254	0.212	0.187	0.060	0.055	0.057	0.058	0.061	0.061	0.195	0.232	0.232	0.208	0.208	0.236	0.236	0.366	0.133	0.236	0.236	0.190	0.208	0.208	0.211	0.236	0.216
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
