		(0.092)	(0.12)	(0.19)	(0.16)	(0.092)		(0.095)	(0.096)	(0.097)	(0.11)	(0.11)	(0.11)	(0.092)	(0.096)	(0.088)				(0.100)	(0.089)	(0.11)	(0.12)																							(0.16)
1.period	Period = 1, pre-1750				-0.055																												-0.081	-0.081	-0.089	-0.089	-0.14**	-0.080	-0.089	-0.089	-0.072	-0.081	-0.081	-0.075	-0.089	-0.092
					(0.080)																												(0.074)	(0.074)	(0.074)	(0.074)	(0.069)	(0.074)	(0.072)	(0.074)	(0.077)	(0.074)	(0.074)	(0.070)	(0.068)	(0.081)
3.period	Period = 3, 1776-1800				0.10**																												0.11*	0.11*	0.15**	0.15**	0.14**	0.14**	0.15	0.15**	0.13**	0.11*	0.11*	0.080	0.15*	0.13**
					(0.045)																												(0.063)	(0.064)	(0.062)	(0.062)	(0.060)	(0.065)	(0.093)	(0.062)	(0.064)	(0.063)	(0.064)	(0.060)	(0.088)	(0.060)
4.period	Period = 4, post-1800				0.11																												0.36**	0.36**	0.45***	0.45***	0.24*	0.37**	0.45**	0.45***	0.27*	0.36**	0.36**	0.38***	0.45***	0.29*
					(0.14)																												(0.15)	(0.15)	(0.15)	(0.15)	(0.14)	(0.15)	(0.21)	(0.15)	(0.15)	(0.15)	(0.15)	(0.14)	(0.17)	(0.15)
YEARAF	Year departed Africa (imputed)		0.0029**	0.16																			0.0022	0.0037**	0.0040**	0.0035*	0.0039*	0.0030	0.0030	0.0097***	0.0087***	0.0076***														
			(0.0014)	(0.20)																			(0.0015)	(0.0018)	(0.0020)	(0.0019)	(0.0020)	(0.0019)	(0.0019)	(0.0019)	(0.0018)	(0.0020)														
yearsq	yearsq			-0.000044																																										
				(0.000057)																																										
war	War involving own nationality					0.050																	0.034	0.026	0.035	0.035	0.048	0.036	0.036	0.064	0.047	0.046	0.028	0.028	0.037	0.037	0.0025	0.041	0.037	0.037	0.052	0.028	0.028	0.023	0.037	0.016
						(0.050)																	(0.051)	(0.051)	(0.053)	(0.053)	(0.054)	(0.054)	(0.054)	(0.051)	(0.049)	(0.050)	(0.054)	(0.053)	(0.053)	(0.053)	(0.050)	(0.055)	(0.051)	(0.053)	(0.055)	(0.054)	(0.053)	(0.050)	(0.048)	(0.054)
neutral	Neutrality of own nation					0.081*																	0.060	0.053	0.047	0.049	0.058	0.061	0.061	0.0025	0.012	-0.0092	0.0064	0.0084	0.0019	0.0019	0.011	0.036	0.0019	0.0019	0.0088	0.0064	0.0084	0.037	0.0019	0.043
						(0.047)																	(0.049)	(0.051)	(0.052)	(0.052)	(0.053)	(0.052)	(0.052)	(0.049)	(0.047)	(0.049)	(0.058)	(0.058)	(0.058)	(0.058)	(0.054)	(0.060)	(0.064)	(0.058)	(0.060)	(0.058)	(0.058)	(0.055)	(0.061)	(0.059)
pricemarkup	Slave price markup between America and Africa						0.0092																	0.030	0.020	0.023	0.0089	0.016	0.016	0.038*	0.032	0.027	-0.0045	-0.0038	-0.0098	-0.0098	-0.0023		-0.0098	-0.0098	-0.011	-0.0045	-0.0038	-0.019	-0.0098	
							(0.017)																	(0.021)	(0.023)	(0.023)	(0.023)	(0.023)	(0.023)	(0.022)	(0.021)	(0.022)	(0.020)	(0.020)	(0.020)	(0.020)	(0.019)		(0.020)	(0.020)	(0.021)	(0.020)	(0.020)	(0.019)	(0.018)	
captain_experience_d	Not the first voyage of the captain							0.043																				0.082*	0.082*	0.069*	0.061	0.064	0.066	0.064	0.075*	0.075*	0.079**	0.093**	0.075*	0.075*	0.087**	0.066	0.064	0.070*	0.075**	
								(0.044)																				(0.043)	(0.043)	(0.041)	(0.039)	(0.041)	(0.042)	(0.042)	(0.041)	(0.041)	(0.039)	(0.044)	(0.040)	(0.041)	(0.043)	(0.042)	(0.042)	(0.039)	(0.037)	
captain_experience	(min) captain_experience								0.0039																		0.0065																			
									(0.0084)																		(0.0081)																			
captain_total_career	(min) captain_total_career									0.0065																																				
										(0.0055)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.062															0.031		0.012	0.012	0.042	-0.0035	0.019	0.020	0.021	0.0076	0.0076	0.021	0.022	0.0076	0.0076	-0.013	0.020	0.021	-0.0085	0.0076	
											(0.060)															(0.059)		(0.060)	(0.060)	(0.056)	(0.054)	(0.058)	(0.059)	(0.059)	(0.059)	(0.059)	(0.055)	(0.059)	(0.055)	(0.059)	(0.061)	(0.059)	(0.059)	(0.055)	(0.052)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00032													-0.00074		-0.0014																			
												(0.00096)													(0.0011)		(0.0011)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.00066																																	
													(0.00092)																																	
1.perspective	Perspective of source = 1, Captain													-0.48																																
														(0.31)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.17)																																
4.perspective	Perspective of source = 4, Owner													0.35																																
														(0.40)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.11**															-0.030	-0.020	0.0079	0.012				0.90***					0.012				
															(0.047)															(0.046)	(0.044)	(0.054)	(0.056)				(0.16)					(0.056)				
MORTALITY	Enslaved person mortality rate															-1.08***			-1.11***												-1.10***	-1.13***	-1.16***	-1.17***	-1.13***	-1.13***	-1.28***		-1.13***	-1.13***	-1.00***	-1.16***	-1.17***	-1.11***	-1.13***	
																(0.25)			(0.24)												(0.22)	(0.23)	(0.24)	(0.24)	(0.23)	(0.23)	(0.22)		(0.22)	(0.23)	(0.24)	(0.24)	(0.24)	(0.22)	(0.20)	
crowd	Number of embarked enslaved persons per ton																0.063	0.063	0.058													-0.022	-0.043	-0.033	-0.0050	-0.0050	-0.14**		-0.0050	-0.0050	0.091**	-0.043	-0.033	-0.017	-0.0050	
																	(0.039)	(0.039)	(0.037)													(0.047)	(0.047)	(0.042)	(0.043)	(0.043)	(0.068)		(0.072)	(0.043)	(0.039)	(0.047)	(0.042)	(0.041)	(0.054)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.080**															-0.11**	-0.11**	-0.87***	-0.052	-0.11	-0.11**	-0.21***			-0.066	-0.11	-0.15***
																				(0.037)															(0.049)	(0.049)	(0.12)	(0.12)	(0.10)	(0.049)	(0.045)			(0.046)	(0.082)	(0.041)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.070***									-0.11***	-0.11***	-0.11***	-0.10***	-0.11***	-0.088***	-0.088***	0.11***		-0.088	-0.088***		-0.10***	-0.11***	-0.083***	-0.088**	
																					(0.014)									(0.015)	(0.014)	(0.017)	(0.017)	(0.017)	(0.019)	(0.019)	(0.036)		(0.067)	(0.019)		(0.017)	(0.017)	(0.018)	(0.042)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.075																								
																						(0.12)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.11																								
																						(0.13)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.042																								
																						(0.10)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.059																								
																						(0.11)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.052																								
																						(0.11)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.025																								
																						(0.092)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.044																								
																						(0.096)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.31																								
																						(0.37)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.00012			0.00027	-0.00027					0.00012			
																																		(0.00030)			(0.00048)	(0.00062)					(0.00030)			
totalnetexpperton	totalnetexpperton																																					-0.000059*								
																																						(0.000031)								
Constant	Constant	0.075***	-5.02**	-143	0.050*	0.048	0.042	0.033	0.055	0.022	0.020	0.070**	0.057	-0.13	-0.56**	0.22***	-0.030	-0.030	0.13*	1.13**	0.25***	0.096	-3.92	-6.62**	-7.12**	-6.17*	-6.84*	-5.36	-5.36	-17.0***	-14.9***	-13.2***	0.41	0.45***	1.80***	1.80***	6.65***	0.89	1.80	1.80***	2.74***	0.41	0.45***	1.33**	1.80*	1.98***
		(0.025)	(2.53)	(178)	(0.028)	(0.031)	(0.066)	(0.042)	(0.035)	(0.046)	(0.058)	(0.028)	(0.035)	(0.17)	(0.26)	(0.043)	(0.065)	(0.065)	(0.071)	(0.49)	(0.044)	(0.088)	(2.67)	(3.22)	(3.59)	(3.32)	(3.59)	(3.33)	(3.33)	(3.38)	(3.25)	(3.54)	(0.32)	(0.16)	(0.62)	(0.62)	(0.95)	(1.42)	(1.18)	(0.62)	(0.61)	(0.32)	(0.16)	(0.59)	(0.98)	(0.54)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
R-squared		0.201	0.209	0.211	0.215	0.208	0.008	0.218	0.216	0.219	0.150	0.148	0.149	0.219	0.248	0.278	0.018	0.018	0.080	0.211	0.291	0.242	0.213	0.033	0.027	0.027	0.034	0.039	0.039	0.189	0.247	0.229	0.211	0.212	0.225	0.225	0.333	0.115	0.225	0.225	0.162	0.211	0.212	0.203	0.225	0.241
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
