		(0.12)	(0.15)	(0.22)	(0.22)	(0.11)		(0.13)	(0.13)	(0.13)	(0.14)	(0.14)	(0.14)	(0.12)	(0.13)	(0.12)				(0.13)	(0.12)	(0.14)	(0.14)																							(0.19)
1.period	Period = 1, pre-1750				-0.14**																												-0.13*	-0.16**	-0.11	-0.11	-0.20***	-0.10	-0.11	-0.11	-0.089	-0.13*	-0.16**	-0.15***	-0.11*	-0.15***
					(0.061)																												(0.074)	(0.075)	(0.070)	(0.070)	(0.063)	(0.071)	(0.070)	(0.070)	(0.071)	(0.074)	(0.075)	(0.055)	(0.065)	(0.059)
3.period	Period = 3, 1776-1800				0.17***																												0.31***	0.30***	0.35***	0.35***	0.29***	0.27***	0.35**	0.35***	0.32***	0.31***	0.30***	0.13**	0.35***	0.23***
					(0.056)																												(0.077)	(0.080)	(0.073)	(0.073)	(0.067)	(0.079)	(0.14)	(0.073)	(0.074)	(0.077)	(0.080)	(0.059)	(0.13)	(0.065)
4.period	Period = 4, post-1800				0.11																												0.74***	0.66***	0.79***	0.79***	0.45***	0.53***	0.79***	0.79***	0.62***	0.74***	0.66***	0.54***	0.79***	0.47***
					(0.19)																												(0.20)	(0.20)	(0.19)	(0.19)	(0.17)	(0.19)	(0.24)	(0.19)	(0.18)	(0.20)	(0.20)	(0.15)	(0.19)	(0.18)
YEARAF	Year departed Africa (imputed)		0.0044***	-0.21																			0.0056***	0.0073***	0.0069***	0.0056***	0.0068***	0.0053**	0.0053**	0.013***	0.012***	0.013***														
			(0.0014)	(0.19)																			(0.0016)	(0.0019)	(0.0022)	(0.0020)	(0.0022)	(0.0021)	(0.0021)	(0.0020)	(0.0020)	(0.0021)														
yearsq	yearsq			0.000060																																										
				(0.000055)																																										
war	War involving own nationality					0.18***																	0.11*	0.10	0.098	0.095	0.11*	0.096	0.096	0.14**	0.11*	0.11*	0.066	0.049	0.071	0.071	0.034	0.10	0.071	0.071	0.079	0.066	0.049	0.018	0.071	0.071
						(0.057)																	(0.059)	(0.061)	(0.066)	(0.066)	(0.068)	(0.069)	(0.069)	(0.063)	(0.061)	(0.064)	(0.070)	(0.070)	(0.066)	(0.066)	(0.060)	(0.069)	(0.070)	(0.066)	(0.067)	(0.070)	(0.070)	(0.052)	(0.066)	(0.060)
neutral	Neutrality of own nation					0.16***																	0.093	0.080	0.066	0.083	0.079	0.092	0.092	0.034	0.047	0.013	-0.021	-0.020	-0.027	-0.027	0.017	0.053	-0.027	-0.027	-0.014	-0.021	-0.020	0.066	-0.027	0.060
						(0.055)																	(0.057)	(0.060)	(0.064)	(0.064)	(0.065)	(0.065)	(0.065)	(0.060)	(0.058)	(0.061)	(0.073)	(0.074)	(0.069)	(0.069)	(0.063)	(0.072)	(0.089)	(0.069)	(0.071)	(0.073)	(0.074)	(0.055)	(0.082)	(0.064)
pricemarkup	Slave price markup between America and Africa						0.038**																	0.038*	0.020	0.020	0.012	0.014	0.014	0.032	0.027	0.026	-0.015	-0.012	-0.023	-0.023	-0.0088		-0.023	-0.023	-0.024	-0.015	-0.012	-0.0045	-0.023	
							(0.018)																	(0.022)	(0.026)	(0.026)	(0.027)	(0.027)	(0.027)	(0.025)	(0.024)	(0.025)	(0.024)	(0.025)	(0.023)	(0.023)	(0.021)		(0.031)	(0.023)	(0.023)	(0.024)	(0.025)	(0.018)	(0.027)	
captain_experience_d	Not the first voyage of the captain							0.044																				0.070	0.070	0.057	0.056	0.043	0.043	0.036	0.060	0.060	0.050	0.082	0.060	0.060	0.070	0.043	0.036	0.053	0.060	
								(0.052)																				(0.053)	(0.053)	(0.048)	(0.047)	(0.050)	(0.051)	(0.052)	(0.049)	(0.049)	(0.044)	(0.052)	(0.048)	(0.049)	(0.049)	(0.051)	(0.052)	(0.038)	(0.046)	
captain_experience	(min) captain_experience								0.0051																		-0.0022																			
									(0.0087)																		(0.0086)																			
captain_total_career	(min) captain_total_career									0.020***																																				
										(0.0058)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										-0.029															-0.069		-0.083	-0.083	-0.032	-0.091	-0.056	-0.058	-0.057	-0.065	-0.065	-0.054	-0.052	-0.065	-0.065	-0.075	-0.058	-0.057	-0.00082	-0.065	
											(0.071)															(0.070)		(0.072)	(0.072)	(0.066)	(0.065)	(0.071)	(0.072)	(0.073)	(0.069)	(0.069)	(0.062)	(0.070)	(0.099)	(0.069)	(0.070)	(0.072)	(0.073)	(0.054)	(0.088)	
OUTFITTER_experience	(min) OUTFITTER_experience											-0.00023													-0.0021		-0.0026**																			
												(0.0012)													(0.0013)		(0.0013)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.0014																																	
													(0.0011)																																	
1.perspective	Perspective of source = 1, Captain													0.051																																
														(0.36)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.21)																																
4.perspective	Perspective of source = 4, Owner													0.49																																
														(0.41)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.096															-0.11*	-0.098*	-0.17***	-0.20***				1.20***					-0.20***				
															(0.060)															(0.054)	(0.053)	(0.060)	(0.064)				(0.18)					(0.064)				
MORTALITY	Enslaved person mortality rate															-1.17***			-1.24***												-1.16***	-1.10***	-1.07***	-1.09***	-1.07***	-1.07***	-1.35***		-1.07***	-1.07***	-1.00***	-1.07***	-1.09***	-1.16***	-1.07***	
																(0.31)			(0.30)												(0.27)	(0.28)	(0.28)	(0.29)	(0.27)	(0.27)	(0.24)		(0.30)	(0.27)	(0.27)	(0.28)	(0.29)	(0.21)	(0.28)	
crowd	Number of embarked enslaved persons per ton																0.26***	0.26***	0.27***													0.15***	0.14**	0.045	0.14***	0.14***	-0.0033		0.14	0.14***	0.23***	0.14**	0.045	0.021	0.14	
																	(0.043)	(0.043)	(0.042)													(0.054)	(0.055)	(0.054)	(0.049)	(0.049)	(0.080)		(0.13)	(0.049)	(0.044)	(0.055)	(0.054)	(0.040)	(0.10)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.28***															-0.34***	-0.34***	-1.41***	-0.51***	-0.34**	-0.34***	-0.42***			-0.12***	-0.34***	-0.32***
																				(0.042)															(0.052)	(0.052)	(0.13)	(0.14)	(0.15)	(0.052)	(0.047)			(0.043)	(0.13)	(0.042)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.13***									-0.17***	-0.18***	-0.17***	-0.17***	-0.15***	-0.086***	-0.086***	0.21***		-0.086	-0.086***		-0.17***	-0.15***	-0.097***	-0.086*	
																					(0.018)									(0.018)	(0.018)	(0.021)	(0.023)	(0.023)	(0.024)	(0.024)	(0.042)		(0.074)	(0.024)		(0.023)	(0.023)	(0.019)	(0.047)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.089																								
																						(0.14)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.12																								
																						(0.15)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.092																								
																						(0.12)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.19*																								
																						(0.12)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.044																								
																						(0.12)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.078																								
																						(0.097)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.075																								
																						(0.10)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.20																								
																						(0.51)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	-0.00047			0.0011*	0.00094					-0.00047			
																																		(0.00035)			(0.00056)	(0.00076)					(0.00035)			
totalnetexpperton	totalnetexpperton																																					-8.6e-07								
																																						(0.000042)								
Constant	Constant	0.065**	-7.63***	180	0.061*	-0.019	-0.082	0.024	0.041	-0.076	0.11	0.086**	0.049	-0.15	-0.48	0.23***	-0.36***	-0.36***	-0.18**	3.78***	0.40***	0.13	-9.80***	-13.0***	-12.2***	-9.84***	-12.1***	-9.34**	-9.34**	-21.8***	-20.5***	-21.6***	1.54***	0.63***	4.72***	4.72***	11.7***	6.56***	4.72**	4.72***	5.43***	1.54***	0.63***	1.97***	4.72***	4.30***
		(0.029)	(2.44)	(171)	(0.037)	(0.033)	(0.074)	(0.048)	(0.039)	(0.049)	(0.068)	(0.033)	(0.041)	(0.21)	(0.33)	(0.055)	(0.075)	(0.075)	(0.085)	(0.56)	(0.054)	(0.088)	(2.79)	(3.31)	(3.91)	(3.66)	(3.97)	(3.72)	(3.72)	(3.60)	(3.50)	(3.69)	(0.37)	(0.20)	(0.66)	(0.66)	(0.96)	(1.67)	(1.85)	(0.66)	(0.65)	(0.37)	(0.20)	(0.56)	(1.58)	(0.55)
																																														
Observations		483	483	483	483	466	465	444	444	444	422	422	422	483	432	431	381	381	380	483	432	432	466	448	396	396	375	375	375	361	360	335	335	335	335	335	335	340	335	335	335	335	335	332	335	466
R-squared		0.082	0.101	0.103	0.119	0.127	0.016	0.085	0.084	0.107	0.062	0.062	0.065	0.086	0.095	0.121	0.090	0.090	0.127	0.159	0.194	0.102	0.150	0.082	0.058	0.053	0.065	0.062	0.062	0.263	0.303	0.300	0.278	0.260	0.343	0.343	0.481	0.234	0.343	0.343	0.317	0.278	0.260	0.271	0.343	0.260
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
