		(0.091)	(0.12)	(0.18)	(0.16)	(0.091)		(0.094)	(0.095)	(0.096)	(0.11)	(0.11)	(0.11)	(0.091)	(0.094)	(0.087)				(0.10)	(0.089)	(0.11)	(0.12)																							(0.16)
1.period	Period = 1, pre-1750				-0.043																												-0.075	-0.074	-0.084	-0.084	-0.14**	-0.071	-0.084	-0.084	-0.064	-0.075	-0.074	-0.069	-0.084	-0.080
					(0.079)																												(0.075)	(0.075)	(0.075)	(0.075)	(0.069)	(0.075)	(0.073)	(0.075)	(0.078)	(0.075)	(0.075)	(0.071)	(0.068)	(0.081)
3.period	Period = 3, 1776-1800				0.12**																												0.12*	0.11*	0.16**	0.16**	0.15**	0.14**	0.16*	0.16**	0.14**	0.12*	0.11*	0.090	0.16*	0.14**
					(0.045)																												(0.063)	(0.065)	(0.063)	(0.063)	(0.059)	(0.065)	(0.092)	(0.063)	(0.065)	(0.063)	(0.065)	(0.061)	(0.087)	(0.059)
4.period	Period = 4, post-1800				0.13																												0.37**	0.37**	0.47***	0.47***	0.24*	0.38**	0.47**	0.47***	0.29*	0.37**	0.37**	0.40***	0.47***	0.30**
					(0.14)																												(0.16)	(0.16)	(0.15)	(0.15)	(0.14)	(0.15)	(0.21)	(0.15)	(0.15)	(0.16)	(0.16)	(0.14)	(0.17)	(0.15)
YEARAF	Year departed Africa (imputed)		0.0030**	0.13																			0.0023	0.0036**	0.0040**	0.0035*	0.0039*	0.0030	0.0030	0.0098***	0.0088***	0.0077***														
			(0.0014)	(0.20)																			(0.0015)	(0.0018)	(0.0020)	(0.0019)	(0.0020)	(0.0019)	(0.0019)	(0.0019)	(0.0018)	(0.0020)														
yearsq	yearsq			-0.000037																																										
				(0.000056)																																										
war	War involving own nationality					0.055																	0.039	0.047	0.052	0.052	0.068	0.055	0.055	0.077	0.059	0.058	0.038	0.039	0.047	0.047	0.0082	0.054	0.047	0.047	0.066	0.038	0.039	0.034	0.047	0.014
						(0.049)																	(0.050)	(0.051)	(0.053)	(0.053)	(0.055)	(0.055)	(0.055)	(0.051)	(0.049)	(0.050)	(0.054)	(0.054)	(0.053)	(0.053)	(0.050)	(0.056)	(0.051)	(0.053)	(0.056)	(0.054)	(0.054)	(0.051)	(0.049)	(0.053)
neutral	Neutrality of own nation					0.086*																	0.065	0.064	0.054	0.057	0.066	0.070	0.070	0.0070	0.016	-0.0033	0.0087	0.012	0.0035	0.0035	0.013	0.042	0.0035	0.0035	0.011	0.0087	0.012	0.039	0.0035	0.038
						(0.047)																	(0.049)	(0.051)	(0.053)	(0.053)	(0.053)	(0.053)	(0.053)	(0.049)	(0.047)	(0.050)	(0.059)	(0.059)	(0.058)	(0.058)	(0.054)	(0.060)	(0.064)	(0.058)	(0.060)	(0.059)	(0.059)	(0.055)	(0.061)	(0.059)
pricemarkup	Slave price markup between America and Africa						0.0094																	0.029	0.020	0.023	0.0095	0.016	0.016	0.039*	0.032	0.028	-0.0038	-0.0030	-0.0096	-0.0096	-0.0018		-0.0096	-0.0096	-0.011	-0.0038	-0.0030	-0.018	-0.0096	
							(0.017)																	(0.021)	(0.023)	(0.023)	(0.024)	(0.024)	(0.024)	(0.022)	(0.021)	(0.022)	(0.020)	(0.020)	(0.020)	(0.020)	(0.019)		(0.020)	(0.020)	(0.021)	(0.020)	(0.020)	(0.019)	(0.019)	
captain_experience_d	Not the first voyage of the captain							0.054																				0.082*	0.082*	0.067	0.059	0.062	0.064	0.062	0.075*	0.075*	0.079**	0.093**	0.075*	0.075*	0.087**	0.064	0.062	0.069*	0.075*	
								(0.043)																				(0.043)	(0.043)	(0.041)	(0.039)	(0.041)	(0.042)	(0.042)	(0.042)	(0.042)	(0.039)	(0.045)	(0.041)	(0.042)	(0.043)	(0.042)	(0.042)	(0.040)	(0.038)	
captain_experience	(min) captain_experience								0.0062																		0.0075																			
									(0.0083)																		(0.0082)																			
captain_total_career	(min) captain_total_career									0.0085																																				
										(0.0055)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.048															0.024		0.0037	0.0037	0.038	-0.0073	0.015	0.015	0.016	0.0020	0.0020	0.019	0.015	0.0020	0.0020	-0.021	0.015	0.016	-0.015	0.0020	
											(0.060)															(0.060)		(0.060)	(0.060)	(0.056)	(0.054)	(0.058)	(0.060)	(0.060)	(0.059)	(0.059)	(0.055)	(0.060)	(0.056)	(0.059)	(0.061)	(0.060)	(0.060)	(0.056)	(0.053)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00032													-0.00077		-0.0014																			
												(0.00096)													(0.0011)		(0.0011)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.00038																																	
													(0.00091)																																	
1.perspective	Perspective of source = 1, Captain													-0.48																																
														(0.31)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.17)																																
4.perspective	Perspective of source = 4, Owner													0.35																																
														(0.40)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13***															-0.023	-0.013	0.019	0.022				0.96***					0.022				
															(0.046)															(0.046)	(0.044)	(0.055)	(0.057)				(0.16)					(0.057)				
MORTALITY	Enslaved person mortality rate															-1.05***			-1.11***												-1.09***	-1.13***	-1.16***	-1.17***	-1.12***	-1.12***	-1.29***		-1.12***	-1.12***	-0.99***	-1.16***	-1.17***	-1.11***	-1.12***	
																(0.25)			(0.24)												(0.22)	(0.23)	(0.24)	(0.24)	(0.24)	(0.24)	(0.22)		(0.22)	(0.24)	(0.24)	(0.24)	(0.24)	(0.22)	(0.20)	
crowd	Number of embarked enslaved persons per ton																0.066*	0.066*	0.061													-0.029	-0.050	-0.034	-0.0073	-0.0073	-0.15**		-0.0073	-0.0073	0.094**	-0.050	-0.034	-0.019	-0.0073	
																	(0.039)	(0.039)	(0.038)													(0.048)	(0.048)	(0.043)	(0.044)	(0.044)	(0.068)		(0.073)	(0.044)	(0.040)	(0.048)	(0.043)	(0.041)	(0.055)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.072*															-0.11**	-0.11**	-0.94***	-0.056	-0.11	-0.11**	-0.21***			-0.067	-0.11	-0.14***
																				(0.037)															(0.049)	(0.049)	(0.12)	(0.12)	(0.10)	(0.049)	(0.047)			(0.047)	(0.084)	(0.041)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.071***									-0.11***	-0.11***	-0.11***	-0.11***	-0.11***	-0.091***	-0.091***	0.13***		-0.091	-0.091***		-0.11***	-0.11***	-0.087***	-0.091**	
																					(0.013)									(0.015)	(0.015)	(0.017)	(0.018)	(0.017)	(0.018)	(0.018)	(0.036)		(0.066)	(0.018)		(0.018)	(0.017)	(0.018)	(0.042)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.18																								
																						(0.12)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.098																								
																						(0.13)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.051																								
																						(0.10)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.072																								
																						(0.11)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.079																								
																						(0.11)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.035																								
																						(0.091)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.052																								
																						(0.094)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.29																								
																						(0.37)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.00017			0.00033	-0.00021					0.00017			
																																		(0.00030)			(0.00048)	(0.00063)					(0.00030)			
totalnetexpperton	totalnetexpperton																																					-0.000061*								
																																						(0.000031)								
Constant	Constant	0.059**	-5.18**	-121	0.030	0.030	0.025	0.010	0.034	-0.0058	0.018	0.056**	0.050	-0.15	-0.67***	0.20***	-0.050	-0.050	0.11	1.02**	0.25***	0.10	-3.98	-6.45**	-7.18**	-6.20*	-6.85*	-5.35	-5.35	-17.2***	-15.1***	-13.4***	0.36	0.43***	1.83***	1.83***	7.11***	0.93	1.83	1.83***	2.81***	0.36	0.43***	1.34**	1.83*	1.90***
		(0.025)	(2.50)	(176)	(0.028)	(0.031)	(0.066)	(0.042)	(0.035)	(0.045)	(0.057)	(0.028)	(0.034)	(0.17)	(0.26)	(0.043)	(0.066)	(0.066)	(0.072)	(0.50)	(0.044)	(0.086)	(2.64)	(3.24)	(3.62)	(3.35)	(3.62)	(3.36)	(3.36)	(3.40)	(3.28)	(3.58)	(0.32)	(0.16)	(0.63)	(0.63)	(0.96)	(1.44)	(1.20)	(0.63)	(0.62)	(0.32)	(0.16)	(0.60)	(1.01)	(0.54)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
R-squared		0.110	0.120	0.121	0.128	0.119	0.001	0.127	0.125	0.130	0.078	0.077	0.077	0.130	0.152	0.178	0.016	0.016	0.075	0.118	0.200	0.147	0.125	0.030	0.029	0.028	0.039	0.042	0.042	0.195	0.251	0.233	0.216	0.217	0.229	0.229	0.352	0.122	0.229	0.229	0.162	0.216	0.217	0.207	0.229	0.156
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
