		(0.099)	(0.13)	(0.20)	(0.18)	(0.099)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.099)	(0.10)	(0.096)				(0.11)	(0.097)	(0.12)	(0.13)																							(0.18)
1.period	Period = 1, pre-1750				-0.039																												-0.080	-0.079	-0.093	-0.093	-0.17**	-0.072	-0.093	-0.093	-0.076	-0.080	-0.079	-0.067	-0.093	-0.087
					(0.086)																												(0.083)	(0.083)	(0.082)	(0.082)	(0.075)	(0.082)	(0.082)	(0.082)	(0.085)	(0.083)	(0.083)	(0.072)	(0.077)	(0.087)
3.period	Period = 3, 1776-1800				0.12**																												0.16**	0.16**	0.21***	0.21***	0.18***	0.17**	0.21	0.21***	0.18**	0.16**	0.16**	0.089	0.21	0.16**
					(0.049)																												(0.070)	(0.072)	(0.069)	(0.069)	(0.064)	(0.072)	(0.14)	(0.069)	(0.071)	(0.070)	(0.072)	(0.061)	(0.13)	(0.064)
4.period	Period = 4, post-1800				0.093																												0.41**	0.39**	0.52***	0.52***	0.24	0.39**	0.52**	0.52***	0.33**	0.41**	0.39**	0.38**	0.52**	0.31*
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.16)	(0.16)	(0.26)	(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.20)	(0.16)
YEARAF	Year departed Africa (imputed)		0.0033**	0.093																			0.0026	0.0045**	0.0049**	0.0043**	0.0048**	0.0039*	0.0039*	0.011***	0.010***	0.0097***														
			(0.0015)	(0.22)																			(0.0016)	(0.0020)	(0.0022)	(0.0020)	(0.0022)	(0.0020)	(0.0020)	(0.0021)	(0.0020)	(0.0022)														
yearsq	yearsq			-0.000025																																										
				(0.000061)																																										
war	War involving own nationality					0.049																	0.031	0.018	0.025	0.026	0.037	0.025	0.025	0.070	0.052	0.054	0.030	0.028	0.047	0.047	0.021	0.057	0.047	0.047	0.055	0.030	0.028	0.017	0.047	0.016
						(0.053)																	(0.055)	(0.055)	(0.057)	(0.057)	(0.059)	(0.059)	(0.059)	(0.056)	(0.054)	(0.056)	(0.060)	(0.060)	(0.059)	(0.059)	(0.054)	(0.061)	(0.059)	(0.059)	(0.061)	(0.060)	(0.060)	(0.052)	(0.057)	(0.057)
neutral	Neutrality of own nation					0.093*																	0.069	0.054	0.045	0.047	0.055	0.057	0.057	-0.0087	0.0013	-0.024	-0.017	-0.015	-0.021	-0.021	0.0049	0.027	-0.021	-0.021	-0.0096	-0.017	-0.015	0.039	-0.021	0.039
						(0.051)																	(0.053)	(0.055)	(0.057)	(0.057)	(0.057)	(0.057)	(0.057)	(0.054)	(0.052)	(0.055)	(0.065)	(0.065)	(0.064)	(0.064)	(0.058)	(0.065)	(0.080)	(0.064)	(0.066)	(0.065)	(0.065)	(0.056)	(0.075)	(0.064)
pricemarkup	Slave price markup between America and Africa						0.013																	0.039*	0.029	0.033	0.019	0.027	0.027	0.050**	0.043*	0.039	0.00017	0.0013	-0.0075	-0.0075	-0.0011		-0.0075	-0.0075	-0.0080	0.00017	0.0013	-0.020	-0.0075	
							(0.019)																	(0.023)	(0.025)	(0.025)	(0.026)	(0.026)	(0.026)	(0.024)	(0.023)	(0.025)	(0.022)	(0.023)	(0.022)	(0.022)	(0.020)		(0.022)	(0.022)	(0.023)	(0.022)	(0.023)	(0.019)	(0.021)	
captain_experience_d	Not the first voyage of the captain							0.046																				0.084*	0.084*	0.070	0.062	0.064	0.067	0.065	0.080*	0.080*	0.084**	0.096**	0.080*	0.080*	0.091*	0.067	0.065	0.070*	0.080**	
								(0.047)																				(0.047)	(0.047)	(0.045)	(0.043)	(0.046)	(0.047)	(0.047)	(0.046)	(0.046)	(0.042)	(0.049)	(0.043)	(0.046)	(0.047)	(0.047)	(0.047)	(0.040)	(0.040)	
captain_experience	(min) captain_experience								0.0043																		0.0066																			
									(0.0091)																		(0.0088)																			
captain_total_career	(min) captain_total_career									0.0055																																				
										(0.0060)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.072															0.043		0.026	0.026	0.055	0.0094	0.034	0.035	0.038	0.016	0.016	0.024	0.026	0.016	0.016	-0.0035	0.035	0.038	-0.0068	0.016	
											(0.065)															(0.064)		(0.065)	(0.065)	(0.061)	(0.060)	(0.064)	(0.066)	(0.066)	(0.065)	(0.065)	(0.059)	(0.065)	(0.060)	(0.065)	(0.067)	(0.066)	(0.066)	(0.057)	(0.056)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00038													-0.00078		-0.0014																			
												(0.0010)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.0011																																	
													(0.00099)																																	
1.perspective	Perspective of source = 1, Captain													-0.48																																
														(0.34)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.35																																
														(0.44)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.12**															-0.039	-0.028	-0.012	-0.0043				1.13***					-0.0043				
															(0.051)															(0.051)	(0.049)	(0.060)	(0.063)				(0.17)					(0.063)				
MORTALITY	Enslaved person mortality rate															-1.13***			-1.18***												-1.12***	-1.16***	-1.19***	-1.20***	-1.15***	-1.15***	-1.36***		-1.15***	-1.15***	-1.04***	-1.19***	-1.20***	-1.13***	-1.15***	
																(0.27)			(0.27)												(0.25)	(0.26)	(0.27)	(0.27)	(0.26)	(0.26)	(0.24)		(0.23)	(0.26)	(0.27)	(0.27)	(0.27)	(0.23)	(0.21)	
crowd	Number of embarked enslaved persons per ton																0.079*	0.079*	0.074*													-0.0089	-0.036	-0.035	0.0090	0.0090	-0.19**		0.0090	0.0090	0.11**	-0.036	-0.035	-0.011	0.0090	
																	(0.043)	(0.043)	(0.041)													(0.053)	(0.053)	(0.048)	(0.048)	(0.048)	(0.075)		(0.087)	(0.048)	(0.043)	(0.053)	(0.048)	(0.042)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.10**															-0.16***	-0.16***	-1.07***	-0.20	-0.16	-0.16***	-0.25***			-0.074	-0.16	-0.18***
																				(0.039)															(0.053)	(0.053)	(0.13)	(0.13)	(0.14)	(0.053)	(0.049)			(0.047)	(0.11)	(0.044)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.076***									-0.12***	-0.12***	-0.13***	-0.12***	-0.12***	-0.092***	-0.092***	0.16***		-0.092	-0.092***		-0.12***	-0.12***	-0.085***	-0.092*	
																					(0.015)									(0.017)	(0.017)	(0.020)	(0.021)	(0.020)	(0.022)	(0.022)	(0.039)		(0.083)	(0.022)		(0.021)	(0.020)	(0.019)	(0.048)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.071																								
																						(0.13)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.11																								
																						(0.14)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.040																								
																						(0.11)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.055																								
																						(0.12)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.064																								
																						(0.12)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.048																								
																						(0.10)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.020																								
																						(0.10)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.31																								
																						(0.41)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.000097			0.00017	0.00027					0.000097			
																																		(0.00033)			(0.00052)	(0.00070)					(0.00033)			
totalnetexpperton	totalnetexpperton																																					-0.000041								
																																						(0.000038)								
Constant	Constant	0.096***	-5.72**	-84.9	0.066**	0.069**	0.049	0.053	0.076**	0.051	0.030	0.088***	0.066*	-0.11	-0.57**	0.25***	-0.033	-0.033	0.14*	1.43***	0.28***	0.13	-4.53	-8.09**	-8.68**	-7.68**	-8.52**	-7.01*	-7.01*	-19.8***	-17.6***	-16.7***	0.50	0.46**	2.47***	2.47***	8.00***	2.60*	2.47	2.47***	3.32***	0.50	0.46**	1.42**	2.47*	2.38***
		(0.027)	(2.72)	(192)	(0.030)	(0.033)	(0.072)	(0.046)	(0.038)	(0.049)	(0.062)	(0.030)	(0.037)	(0.18)	(0.28)	(0.047)	(0.072)	(0.072)	(0.079)	(0.52)	(0.047)	(0.095)	(2.87)	(3.50)	(3.89)	(3.60)	(3.92)	(3.63)	(3.63)	(3.72)	(3.61)	(3.96)	(0.36)	(0.18)	(0.67)	(0.67)	(0.95)	(1.56)	(1.57)	(0.67)	(0.66)	(0.36)	(0.18)	(0.60)	(1.33)	(0.57)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
R-squared		0.144	0.154	0.154	0.160	0.152	0.013	0.154	0.152	0.154	0.105	0.102	0.105	0.160	0.181	0.210	0.023	0.023	0.078	0.158	0.227	0.176	0.158	0.042	0.032	0.032	0.037	0.042	0.042	0.191	0.240	0.227	0.202	0.202	0.227	0.227	0.371	0.129	0.227	0.227	0.176	0.202	0.202	0.198	0.227	0.196
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
