		(0.098)	(0.13)	(0.20)	(0.18)	(0.098)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.098)	(0.10)	(0.095)				(0.11)	(0.096)	(0.12)	(0.13)																							(0.17)
1.period	Period = 1, pre-1750				-0.056																												-0.086	-0.086	-0.099	-0.099	-0.17**	-0.077	-0.099	-0.099	-0.082	-0.086	-0.086	-0.073	-0.099	-0.093
					(0.085)																												(0.083)	(0.083)	(0.082)	(0.082)	(0.075)	(0.082)	(0.080)	(0.082)	(0.084)	(0.083)	(0.083)	(0.071)	(0.074)	(0.087)
3.period	Period = 3, 1776-1800				0.066																												0.16**	0.16**	0.21***	0.21***	0.18***	0.18**	0.21	0.21***	0.18***	0.16**	0.16**	0.089	0.21*	0.12*
					(0.048)																												(0.070)	(0.071)	(0.068)	(0.068)	(0.064)	(0.071)	(0.14)	(0.068)	(0.070)	(0.070)	(0.071)	(0.061)	(0.13)	(0.063)
4.period	Period = 4, post-1800				0.11																												0.41**	0.39**	0.53***	0.53***	0.26*	0.40**	0.53**	0.53***	0.35**	0.41**	0.39**	0.39***	0.53***	0.32**
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.16)	(0.26)	(0.17)	(0.17)	(0.17)	(0.17)	(0.15)	(0.20)	(0.16)
YEARAF	Year departed Africa (imputed)		0.0023	0.17																			0.0020	0.0035*	0.0030	0.0032	0.0029	0.0028	0.0028	0.010***	0.0090***	0.0097***														
			(0.0015)	(0.21)																			(0.0016)	(0.0019)	(0.0021)	(0.0020)	(0.0022)	(0.0020)	(0.0020)	(0.0021)	(0.0020)	(0.0022)														
yearsq	yearsq			-0.000046																																										
				(0.000061)																																										
war	War involving own nationality					0.049																	0.035	0.026	0.034	0.036	0.047	0.033	0.033	0.068	0.050	0.056	0.031	0.029	0.047	0.047	0.022	0.057	0.047	0.047	0.056	0.031	0.029	0.018	0.047	0.030
						(0.053)																	(0.054)	(0.055)	(0.056)	(0.056)	(0.058)	(0.058)	(0.058)	(0.056)	(0.054)	(0.056)	(0.060)	(0.059)	(0.059)	(0.059)	(0.053)	(0.061)	(0.058)	(0.059)	(0.060)	(0.060)	(0.059)	(0.051)	(0.056)	(0.057)
neutral	Neutrality of own nation					0.038																	0.019	0.011	0.011	0.0073	0.020	0.019	0.019	-0.030	-0.018	-0.015	-0.0077	-0.0057	-0.012	-0.012	0.014	0.036	-0.012	-0.012	-0.00049	-0.0077	-0.0057	0.048	-0.012	0.013
						(0.050)																	(0.052)	(0.055)	(0.056)	(0.056)	(0.057)	(0.056)	(0.056)	(0.053)	(0.052)	(0.055)	(0.065)	(0.065)	(0.063)	(0.063)	(0.058)	(0.065)	(0.080)	(0.063)	(0.065)	(0.065)	(0.065)	(0.056)	(0.075)	(0.063)
pricemarkup	Slave price markup between America and Africa						0.011																	0.032	0.024	0.025	0.014	0.018	0.018	0.043*	0.036	0.039	-0.00017	0.00100	-0.0079	-0.0079	-0.0021		-0.0079	-0.0079	-0.0083	-0.00017	0.00100	-0.021	-0.0079	
							(0.018)																	(0.023)	(0.024)	(0.024)	(0.025)	(0.025)	(0.025)	(0.024)	(0.023)	(0.024)	(0.022)	(0.022)	(0.022)	(0.022)	(0.020)		(0.022)	(0.022)	(0.023)	(0.022)	(0.022)	(0.019)	(0.021)	
captain_experience_d	Not the first voyage of the captain							0.050																				0.097**	0.097**	0.080*	0.073*	0.059	0.062	0.060	0.075	0.075	0.078*	0.092*	0.075*	0.075	0.086*	0.062	0.060	0.065	0.075*	
								(0.046)																				(0.046)	(0.046)	(0.045)	(0.043)	(0.045)	(0.046)	(0.047)	(0.046)	(0.046)	(0.042)	(0.048)	(0.043)	(0.046)	(0.047)	(0.046)	(0.047)	(0.040)	(0.040)	
captain_experience	(min) captain_experience								0.0058																		0.0097																			
									(0.0089)																		(0.0087)																			
captain_total_career	(min) captain_total_career									0.0068																																				
										(0.0059)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.052															0.031		0.0092	0.0092	0.049	0.0058	0.031	0.032	0.035	0.014	0.014	0.022	0.023	0.014	0.014	-0.0057	0.032	0.035	-0.0093	0.014	
											(0.064)															(0.063)		(0.064)	(0.064)	(0.061)	(0.060)	(0.064)	(0.066)	(0.066)	(0.065)	(0.065)	(0.059)	(0.065)	(0.060)	(0.065)	(0.067)	(0.066)	(0.066)	(0.056)	(0.056)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00094													0.00032		-0.00030																			
												(0.0010)													(0.0011)		(0.0012)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.0019**																																	
													(0.00097)																																	
1.perspective	Perspective of source = 1, Captain													-0.40																																
														(0.33)																																
3.perspective	Perspective of source = 3, Investor													0.12																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.43																																
														(0.43)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															-0.027	-0.016	-0.015	-0.0072				1.11***					-0.0072				
															(0.051)															(0.051)	(0.049)	(0.060)	(0.062)				(0.17)					(0.062)				
MORTALITY	Enslaved person mortality rate															-1.14***			-1.19***												-1.13***	-1.16***	-1.19***	-1.20***	-1.15***	-1.15***	-1.36***		-1.15***	-1.15***	-1.04***	-1.19***	-1.20***	-1.13***	-1.15***	
																(0.27)			(0.27)												(0.25)	(0.26)	(0.26)	(0.27)	(0.26)	(0.26)	(0.24)		(0.23)	(0.26)	(0.26)	(0.26)	(0.27)	(0.23)	(0.21)	
crowd	Number of embarked enslaved persons per ton																0.083*	0.083*	0.079*													-0.0014	-0.028	-0.028	0.016	0.016	-0.18**		0.016	0.016	0.11***	-0.028	-0.028	-0.0045	0.016	
																	(0.043)	(0.043)	(0.041)													(0.052)	(0.053)	(0.047)	(0.048)	(0.048)	(0.074)		(0.086)	(0.048)	(0.043)	(0.053)	(0.047)	(0.042)	(0.060)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.11***															-0.16***	-0.16***	-1.06***	-0.19	-0.16	-0.16***	-0.25***			-0.075	-0.16	-0.17***
																				(0.039)															(0.052)	(0.052)	(0.12)	(0.13)	(0.14)	(0.052)	(0.049)			(0.046)	(0.11)	(0.043)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.078***									-0.12***	-0.12***	-0.13***	-0.12***	-0.12***	-0.091***	-0.091***	0.16***		-0.091	-0.091***		-0.12***	-0.12***	-0.084***	-0.091*	
																					(0.015)									(0.017)	(0.017)	(0.020)	(0.021)	(0.020)	(0.021)	(0.021)	(0.039)		(0.082)	(0.021)		(0.021)	(0.020)	(0.019)	(0.048)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.016																								
																						(0.13)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.17																								
																						(0.14)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					0.017																								
																						(0.11)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.0033																								
																						(0.12)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					0.027																								
																						(0.12)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					0.020																								
																						(0.099)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					0.026																								
																						(0.10)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					-0.20																								
																						(0.40)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.000085			0.00020	0.00022					0.000085			
																																		(0.00033)			(0.00052)	(0.00069)					(0.00033)			
totalnetexpperton	totalnetexpperton																																					-0.000042								
																																						(0.000038)								
Constant	Constant	0.097***	-3.97	-149	0.082***	0.076**	0.057	0.051	0.073*	0.043	0.048	0.083***	0.045	-0.022	-0.61**	0.25***	-0.040	-0.040	0.13*	1.53***	0.29***	0.066	-3.42	-6.15*	-5.30	-5.71	-5.08	-5.02	-5.02	-17.7***	-15.5***	-16.7***	0.51	0.45**	2.48***	2.48***	7.90***	2.52	2.48	2.48***	3.31***	0.51	0.45**	1.43**	2.48*	2.34***
		(0.027)	(2.69)	(190)	(0.030)	(0.033)	(0.070)	(0.045)	(0.037)	(0.049)	(0.061)	(0.029)	(0.036)	(0.18)	(0.28)	(0.047)	(0.072)	(0.072)	(0.078)	(0.51)	(0.047)	(0.094)	(2.85)	(3.46)	(3.83)	(3.54)	(3.87)	(3.57)	(3.57)	(3.70)	(3.60)	(3.92)	(0.36)	(0.18)	(0.67)	(0.67)	(0.95)	(1.55)	(1.56)	(0.67)	(0.66)	(0.36)	(0.18)	(0.59)	(1.33)	(0.57)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
R-squared		0.171	0.176	0.178	0.178	0.174	0.043	0.182	0.180	0.182	0.134	0.134	0.142	0.181	0.205	0.229	0.029	0.029	0.085	0.188	0.250	0.196	0.177	0.056	0.050	0.051	0.053	0.062	0.062	0.197	0.243	0.233	0.208	0.208	0.234	0.234	0.375	0.133	0.234	0.234	0.184	0.208	0.208	0.207	0.234	0.212
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
