Year,WarsUK,CommentUK,WarsDK,CommentDK,WarsFR,CommentFR,WarsNL,CommentNL,WarsSP,CommensSP
1783,1,American Revolutionary Wars / Anglo-French War / Fourth Anglo-Dutch War,0,,1,American Revolutionary Wars / Anglo-French War,1,Fourth Anglo-Dutch War,1,American Revolutionary Wars / Anglo-Spanish War
1784,0,,0,,0,,0,,1,Cherokee-American Wars
1785,0,,0,,0,,0,,1,Cherokee-American Wars
1786,0,,0,,0,,0,,1,Cherokee-American Wars
1787,0,,0,,0,,0,,1,Cherokee-American Wars
1788,0,,1,Theatre War,0,,0,,1,Cherokee-American Wars
1789,0,,1,Theatre War,0,,0,,1,Cherokee-American Wars
1790,0,,0,,0,,0,,1,Cherokee-American Wars
1791,0,,0,,0,,0,,1,Cherokee-American Wars / Haitian Revolution
1792,0,,0,,0,,0,,1,Cherokee-American Wars / Haitian Revolution / French Revolutionary & Napoleonic Wars
1793,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,0,,1,Cherokee-American Wars / Haitian Revolution / French Revolutionary & Napoleonic Wars
1794,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Cherokee-American Wars / Haitian Revolution / French Revolutionary & Napoleonic Wars
1795,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Cherokee-American Wars / Haitian Revolution / French Revolutionary & Napoleonic Wars
1796,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1797,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1798,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1799,1,French Revolutionary & Napoleonic Wars,0,,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1800,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1801,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1802,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,0,Peace of Amiens,0,Peace of Amiens,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1803,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1804,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Haitian Revolution / French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1805,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1806,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1807,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1808,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars / Anglo-Spanish War
1809,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,0,
1810,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,0,
1811,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,0,
1812,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Anglo-American War
1813,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,1,Anglo-American War
1814,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,0,,1,Anglo-American War
1815,1,French Revolutionary & Napoleonic Wars,1,Napoleonic Wars,1,French Revolutionary & Napoleonic Wars,0,,1,Anglo-American War
1816,0,,0,,0,,0,,0,
1817,0,,0,,0,,0,,0,
1818,0,,0,,0,,0,,0,
1819,0,,0,,0,,0,,0,
1820,0,,0,,0,,0,,0,
1821,0,,0,,0,,0,,0,
1822,0,,0,,0,,0,,0,
1823,0,,0,,0,,0,,0,
1824,0,,0,,0,,0,,0,
1825,0,,0,,0,,0,,0,
1826,0,,0,,0,,0,,0,
1827,0,,0,,0,,0,,0,
1828,0,,0,,0,,0,,1,Portuguese Civil War
1829,0,,0,,0,,0,,1,Portuguese Civil War
1830,0,,0,,1,Belgian Revolution,1,Belgian Revolution,1,Portuguese Civil War
