ventureid,profit,JEH2004,diffresuultprofit,commentfromklas,problem,variousremarks,source
GD007,.6329608,.70706999,.074109197,No calc from Klas code,OK,Outfited for « la Compagnie de d’Asiento ». No data on return or désarmement,"Meyer (1975), p. 275-276 and 304-305 and Rinchon p35-39"
GD035,-.073042497,-.064569458,.0084730387,No calc from Klas code,OK,various share of the ship for several ventures,"Meyer (1975), p. 406-407"
GD064,-.45318443,-.41030714,.042877287,Substantial mismatch,OK,,"Meyer (1975), p.281 and 304-305"
GD070,-.43061659,-.31723472,.11338186,Substantial mismatch,OK,returns have been rectified according to Rinchon (1956) p126,"Meyer (1975), p. 282 and 304-305"
GD061,.17819293,.25554201,.077349082,Substantial mismatch,OK,,"Meyer (1975), p.281 and 304-305"
GD038,-.90031117,-.90029997,.000011205673,No calc from Klas code,OK,,"Meyer (1975), p. 408-409"
GD036,.40855819,.40859824,.000040054321,No calc from Klas code,OK,both possible vessels in the tstd. I think both keys designate the same vessel. Due to different armatteurs,"Meyer (1975), p. 408-409"
GD073,.29053387,.30996189,.019428015,No calc from Klas code,OK,,"Meyer (1975), p. 276"
GD027,-.04973441,-.086884908,.037150498,Substantial mismatch,OK,Good expenditure recovered from Meyer 404-405p and 289p.,"Meyer (1975), p. 404-405 and 279 and  p. 287"
GD018,.46122289,.50555986,.044336975,No calc from Klas code,OK,various share of the ship for several ventures,"Meyer (1975), p. 396-397"
GD024,-.31026569,-.31028119,.000015497208,"Calc from Klas, but nothing in JEH",OK,,"Meyer (1975), p. 289, 304-305, 402-403 and 428"
GD068,-.11820947,.071129605,.18933907,Substantial mismatch,OK,,"Meyer (1975), p. 282 and 304-305"
GD020,.40610492,.342103,.064001918,No calc from Klas code,OK,,"Meyer (1975), p. 398-399"
GD023,.7748059,.77475351,.000052392483,Substantial mismatch,OK,No equivalent in the STDT. Signaled.,"Meyer (1975), p. 402-403"
GD017,.99687582,.99216962,.0047062039,Substantial mismatch,OK,,"Meyer (1975), p. 394-395 & 279 and 304-305 and 413"
GD034,-.73322004,-.73322105,1.0132790e-06,No calc from Klas code,OK,Meyer writes about it « Douteux qu’il reste à recouvrer de fortes sommes »,"Meyer (1975), p. 406-407"
GD043,.91018206,.91013384,.000048220158,No calc from Klas code,OK,,"Meyer (1975), p. 410-411"
GD013,-.29630148,-.29635641,.00005492568,OK,OK,,"Meyer (1975), p. 408-409-437 "
GD049,.44135422,.47065145,.029297233,No calc from Klas code,OK,No equivalent in the STDT,"Meyer (1975), p. 276 and 304-305"
GD046,-.13392802,-.13395533,.000027313828,No calc from Klas code,OK,,"Meyer (1975), p. 410-411"
GD002,.22423968,.22331606,.00092361867,OK,OK,,"Meyer (1975), p. 400 and 427"
GD014,.25466833,.26244748,.0077791512,No calc from Klas code,OK,Taken by the english in 1781,"Meyer (1975), p.394-395"
GD016,-.13490528,-.13490693,1.6540289e-06,No calc from Klas code,OK,,"Meyer (1975), p. 396-397"
GD001,.04979543,.15220626,.10241082,Substantial mismatch,OK,"GD011 and GD012 are individual ventures of this ship. I had to compute total of all expenditure in the cashflow data base. Every venture has its own comptability, p379. various share of the ship for several ventures ","Meyer (1975), p. 232 and p. 398"
GD066,.77116352,.58419895,.18696457,Substantial mismatch,OK,,"Meyer (1975), p.281 and 304-305"
GD019,-.016729943,-.016723854,6.0889870e-06,No calc from Klas code,OK,,"Meyer (1975), p. 396-397"
GD060,.13985346,.038269009,.10158445,No calc from Klas code,OK,,"Meyer (1975), p.281"
GD107,-.20000562,-.20000562,0,No calc from Klas code,OK,,"Roman, p.198"
GD039,.15791401,.16498636,.0070723444,No calc from Klas code,OK,No equivalent in the STDT. Has to be signaled,"Meyer (1975), p. 408-409"
GD022,-.16222937,-.22886966,.066640288,No calc from Klas code,OK,,"Meyer (1975), p. 400-401"
GD065,.19948414,.14377292,.055711225,Substantial mismatch,OK,,"Meyer (1975), p.281 and 304-305"
GD015,.0010665477,-.007909216,.0089757638,No calc from Klas code,OK,The capitane on the tstd is named as « Tanquerel »,"Meyer (1975), p. 396-397"
GD104,.01891632,.018929131,.000012811273,No calc from Klas code,OK,,"Roman, p.198"
GD103,-.018438036,-.018438036,0,No calc from Klas code,OK,,"Roman, p.198"
GD025,-.16712768,-.16796295,.00083526969,No calc from Klas code,OK,contradictory information on the STDT about the several captain's names,"Meyer (1975), p. 402-403"
GD067,.10378139,.091957048,.01182434,Substantial mismatch,OK,,"Meyer (1975), p.281 and 304-305"
GD037,-.42063779,-.42064005,2.2649765e-06,No calc from Klas code,OK,No equivalent in the STDT. Has to be signaled,"Meyer (1975), p. 408-409"
GD033,-.40896282,-.30091214,.10805067,No calc from Klas code,OK,,"Meyer (1975), p. 406-407"
GD041,-.45609239,-.45595855,.00013384223,No calc from Klas code,OK,,"Meyer (1975), p. 410-411"
GD105,1.0538201,1.0538201,0,No calc from Klas code,OK,,"Roman, p.198"
GD045,.287992,.28805262,.000060617924,No calc from Klas code,OK,contradictory information on the STDT about the captain's name : named as Durocher,"Meyer (1975), p. 410-411"
GD003,.52498996,.53581774,.01082778,OK,OK,,"Meyer (1975), p. 400 and 422-425"
GD048,.1158594,.098325394,.017534003,No calc from Klas code,OK,No equivalent in the STDT,"Meyer (1975), p. 276 and 304-305"
GD062,-.18970822,-.24117789,.051469669,Substantial mismatch,OK,,"Meyer (1975), p. 282 and 204-305"
GD030,.79116321,,,"Calc from Klas, but nothing in JEH","OK, new value","No equivalent in the STDT For the bailly de Suffren. Contradictory informations about the captain’s names. Due to the multiplicity of vessels and ships, complicated to deal with some data, as the value of the ship ; various share of the ship for several ventures. We have both a compte de désarmement and the « répartitions ». To prevent double counting, I classify the compte de désarmement as « Transactions during the voyage »","Meyer (1975), p. 288,406-407 & 432"
GD057,-.96121389,,,.,"OK, new value",,"Meyer (1975), p. 279 and 288 and 304-305"
GD078,.57781398,,,.,"OK, new value",Je ne comprends pas les comptes de la page 290 à partir desquels on peut calculer les retours…,"Meyer (1975), p. 280 & 290"
GD114,2.5629406,,,.,"OK, new value","Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD028,-.96507955,,,"Calc from Klas, but nothing in JEH","OK, new value",No equivalent in the STDT. Has to be signaled,"Meyer (1975), p. 404-405"
GD075,1.024006,,,.,"OK, new value",,"Meyer (1975), p. 279 and 288-287 and 304-305"
GD115,1.941986,,,.,"OK, new value","Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD044,-.42217383,,,.,"OK, new value",Only one equivalent in the STDT. Possibly only one voyage as slave ships,"Meyer (1975), p. 410-411"
GD012,-.9582361,,,.,"OK, new value",GD001 is for the whole ship. No information on commercial returns : only armement and désarmement. Contradictory information p. 398-399,"Meyer (1975), p. 279 and 287 and 304-305"
GD076,.61656523,,,.,"OK, new value",,"Meyer (1975), p. 279 and 288-287 and 304-305"
GD124,1.2803707,,,"Calc from Klas, but nothing in JEH","OK, new value",,"Rinchon, p.295-231"
GD080,-.91568112,,,"Calc from Klas, but nothing in JEH","OK, new value",,"Meyer (1975), p. 279 and 304-305"
GD077,-.96284425,,,.,"OK, new value",,"Meyer (1975), p. 279 and 288-287 and 304-305"
GD011,-.79991817,,,.,"OK, new value",GD001 is for the whole ship. No information on commercial returns : only armement and désarmement. Contradictory information p. 398-399,"Meyer (1975), p. 279 et 287"
GD029,-.21643853,,,.,"OK, new value",,"Meyer (1975), p. 404-405"
GD120,.99952346,,,.,"OK, new value",,"Rinchon, p.81-93"
GD040,-.00025958702,,,.,"OK, new value",,"Meyer (1975), p. 410-411"
GD108,-.87679291,-.28051353,.59627938,No calc from Klas code,Substantial mismatch,"No equivalent in the STDT, « naufragé en avril 1773 ». There is a mistake in JEH 2004 and Daudin 2001 : I have attributed the the Jean-Baptiste the «créances à recouvrer »","Roman, p.198"
GD116,5.991508,.8685143,5.1229935,No calc from Klas code,Substantial mismatch,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD112,1.6991891,-.42640561,2.1255946,No calc from Klas code,Substantial mismatch,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD128,-.61998427,.70360482,1.3235891,Substantial mismatch,Substantial mismatch,,Mc Watters Investment returns and la traite négrière
GD127,-.6204403,.69144201,1.3118823,Substantial mismatch,Substantial mismatch,,Mc Watters Investment returns and la traite négrière
GD123,-.30457169,.29470494,.59927666,Substantial mismatch,Substantial mismatch,"Vessel totally dilapilated. It won’t have the right to come back to France, from Le Cap Français.","Rinchon, p.223-290"
GD126,-.71538514,1.6794024,2.3947875,Substantial mismatch,Substantial mismatch,,Mc Watters Investment returns and la traite négrière and Rinchon p52-57
GD117,4.9282994,.12548588,4.8028135,No calc from Klas code,Substantial mismatch and data of returns displayed as no complete,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD119,3.0408232,-.73323333,3.7740564,No calc from Klas code,Substantial mismatch and data of returns displayed as no complete,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
GD111,3.1692078,-.38813078,3.5573387,No calc from Klas code,Substantial mismatch and data of returns displayed as no complete,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected.","Clark, p.144"
