VentureID,Type of cash flow,Specification,Value,Means of payment/return,Intermediary trading operation,hypothesis,Date of transaction,Timing,Currency,remarks
MR012,Expenditure,Outfitting costs,160000,cash,0,0,1619-04-19,,Portuguese real,
MR012,Expenditure,Trade cargo costs,160000,,0,0,1619-04-19,,Portuguese real,
MR012,Returns,Insurance payments,576000,cash,0,0,,Return,Portuguese real,
MR013,Expenditure,Trade cargo costs,512000,cash,0,0,,Outfitting,Portuguese real,
MR013,Returns,Freight compensation,1024000,cash,0,0,,Return,Portuguese real,"Premium (512,000) + risk compensation (512,000)"
MR014,Expenditure,Outfitting costs,110000,cash,0,0,1619-05-04,,Portuguese real,"Premium (110,000) + risk compensation (110,000)"
MR014,Returns,Freight compensation,220000,cash,0,0,,Return,Portuguese real,MR011-MR014 same boat with different investors
MR015,Expenditure,Outfitting costs,5000,cash,1,0,1619-06-19,,Spanish real,
MR015,Returns,Freight compensation,10000,cash,0,0,,Return,Spanish real,"Premium (5,000 reales) + risk compensation (5,000 reales)"
MR016,Expenditure,Outfitting costs,1455580,cash,0,0,,Outfitting,Portuguese real,
MR016,Expenditure,Licence cost,200000,cash,0,0,,Outfitting,Portuguese real,"Relative to 11 out of 36 slaves purchased, does not specify which licence/taxes covered just the total sum"
MR016,Returns,Sale of slaves in America,2620000,cash,0,0,,Return,Portuguese real,Sum declared for the sale of 36 Guinea slaves
MR016,Returns,Freight compensation,432000,,0,0,,Return,Portuguese real,
MR017,Expenditure,Trade cargo costs,112500,cash,1,0,1619-07-22,Outfitting,Portuguese real,
MR017,Returns,Freight compensation,223000,,0,0,,Return,Portuguese real,"Principal (112,500) + premium (112,500)"
MR018,Expenditure,Trade cargo costs,100000,cash,0,0,,Outfitting,Portuguese real,
MR018,Returns,Freight compensation,200000,,0,0,,Return,Portuguese real,
MR019,Expenditure,Trade cargo costs,80000,cash,0,0,,Outfitting,Portuguese real,
MR019,Expenditure,Licence cost (Africa),28000,,0,1,,Transactions during voyage,Portuguese real,Outfitter pledges to cover the licence fees of the 4 slaves
MR019,Expenditure,Licence cost (America),1760,,0,1,,Transactions during voyage,Spanish real,Outfitter pledges to cover the licence fees of the 4 slaves
MR019,Expenditure,Taxes,376,,0,1,,Transactions during voyage,Spanish real,
MR020,Expenditure,Outfitting costs,1000000,cash,0,0,,Outfitting,Portuguese real,
MR020,Returns,Insurance payments,1900000,,0,0,,Return,Portuguese real,"Principal (1,000,000) + premium (900,000)"
MR021,Expenditure,Trade cargo costs,80000,cash,0,0,,Outfitting,Portuguese real,
MR021,Returns,Freight compensation,152000,cash,0,0,,Return,Portuguese real,"Freighter undergoes the risk of the journey, shipmaster is bound to deliver the slaves to his agents in America. In case the shipmaster sells the slaves, he is bound to pay the freighter’s agents the principal (80,000) + premium of 90% (72,000)"
MR022,Expenditure,Trade cargo costs,440000,cash,0,0,1620-03-04,Outfitting,Portuguese real,
MR022,Returns,Insurance payments,836000,cash,0,0,,Return,Portuguese real,"Captain fulfils payment of principal (440,000) + premium (396,000) at a rate of 90% with the sale of slaves in the name of the freighter’s associate"
MR023,Expenditure,Trade cargo costs,70000,cash,1,0,,Outfitting,Portuguese real,
MR023,Expenditure,Licence cost (Africa),14000,,0,1,,Transactions during voyage,Portuguese real,
MR023,Expenditure,Licence cost (America),880,,0,1,,Transactions during voyage,Spanish real,Only information is to deliver 2 slaves to the investor’s agent in America
MR024,Expenditure,Trade cargo costs,200000,cash,0,0,1620-03-04,,Portuguese real,
MR024,Returns,Insurance payments,10000,cash,0,0,,Return,Spanish real,"Principal (5,000 reales) + risk compensation (5,000 reales)"
MR025,Expenditure,Trade cargo costs,355600,cash,0,0,1620-04-14,,Portuguese real,
MR025,Returns,Insurance payments,640000,cash,0,0,,Return,Portuguese real,"Payment of principal (355,600) plus risk compensation at rate of 80% (284,400) with proceedings of slave sales"
MR026,Expenditure,Trade cargo costs,500000,,0,0,,Outfitting,Portuguese real,
MR026,Returns,Insurance payments,25000,cash,0,0,,Return,Spanish real,
MR027,Expenditure,Trade cargo costs,86840,cash,0,0,1620-06-10,,Portuguese real,
MR027,Returns,Insurance payments,173680,,0,0,,Return,Portuguese real,"Principal (86,840) + risk compensation at rate of 100% (86,840)"
MR028,Expenditure,Insurance costs,160000,,1,0,,Outfitting,Portuguese real,
MR028,Expenditure,Licence cost (Africa),35000,,0,1,,Transactions during voyage,Portuguese real,
MR028,Expenditure,Licence cost (America),2200,,0,1,,Transactions during voyage,Spanish real,
MR028,Returns,Sale of slaves in America,320000,,1,0,,Return,Portuguese real,"The freighter agree to settle the debt with the captain over the handling of 5 “of the best” slaves brought in ship, evaluated at 320,00 réis (64,000 a piece)"
