VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of investor,Name of outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Fate,Various remarks
DR056,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90566,,,,,,,,,,,0.042,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR057,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90567,,,,,,,,,,,0.042,with estimates,yes,,,Value of ship imputed from previous voyage
DR058,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90687,,,,,,,,,,,0.17,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR059,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90688,,,,,,,,,,,0.17,with estimates,yes,,,
DR060,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90792,,,,,,,,,,,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
DR061,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90793,,,,,,,,,,,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
DR062,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Rose,,"Goad, John",,1,,90747,,,,,,,,,,,0.042,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR063,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,,,,,1758,,,,,,,0.0625,yes,yes,,1,"Cannot find matching entry in TSTD. Year has been assumed, based on the dating of the following voyage."
DR064,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90763,,,,,,,,,,,0.0625,with estimates,with estimates,,,
DR065,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90764,,,,,,,,,,,0.0625,with estimates,yes,,,Value of ship imputed from residual after voyage
DR066,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90813,,,,,,,,,,,0.083,with estimates,yes,,,Value of ship imputed from residual after voyage
DR067,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90814,,,,,,,,,,,0.083,with estimates,yes,,,Value of ship imputed from previous voyage
DR068,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Apollo,,,,1,,91112,,,,1764-08-07,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR069,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Nelly and Nancy,,,,1,,91145,,,,,,,,,,,1,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Ship in imputed from residual value of ship.
DR070,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Captain,,"Goad, John",,1,,91014,,,,,,,,,,,1,with estimates,with estimates,,,
DR071,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91130,,,,1766,,,,,,,1,yes,yes,,,
DR072,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91131,,,,1769,,,,,,,1,yes,yes,,,
DR073,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91592,,,,1770,,,,,,,1,yes,yes,,,
DR074,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1770,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR075,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91593,,,,1771,,,,,,,1,yes,yes,,,
DR076,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1771,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR077,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91134,,,,1764,,,,,,,1,yes,yes,,,
DR078,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91135,,,,1766,,,,,,,1,yes,yes,,,
DR079,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91299,,,,1767,,,,,,,1,yes,yes,,,
DR080,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1763,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR081,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1764,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR082,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1762,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR083,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91186,,,,1766,,,,,,,1,yes,yes,,,
DR084,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91187,,,,1768,,,,,,,1,yes,yes,,,
DR085,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1768,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR086,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91188,,,,1769,,,,,,,1,yes,yes,,,
DR087,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91189,,,,1770,,,,,,,1,yes,yes,,,
DR088,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90853,,,,1762,,,,,,,1,yes,yes,,,
DR089,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90854,,,,1763,,,,,,,1,yes,yes,,,
DR090,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91192,,,,1768,,,,,,,1,yes,yes,,,
DR091,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91193,,,,1768,,,,,,,1,yes,yes,,,
DR092,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91194,,,,1769,,,,,,,1,yes,yes,,,
DR093,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91713,,,,1771,,,,,,,1,yes,yes,,,
DR094,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91715,,,,1773,,,,,,,1,yes,yes,,,
DR095,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91772,,,,1771,,,,,,,1,yes,yes,,,
DR096,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91841,,,,1773,,,,,,,1,yes,yes,,,
DR097,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1772,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD
DR098,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91185,,,,1765,,,,,,,1,yes,yes,,,
DR099,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91714,,,,1772,,,,,,,1,yes,yes,,,
DR100,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91773,,,,1772,,,,,,,1,yes,yes,,,
DR101,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90795,,,,,,,,,,,0.125,yes,with estimates,,,
KR022,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 40",,Le Convention / Christopher,,"Leyland, Thomas",,1,,80836,,,Grenada & Tortola,,,,1794-07-09,,,114,1,yes,yes,,,"Not entirely clear if this really is venture 80836 (Christopher) in TSTD, or if it is a separate voyage (by Le Convention) that might have traded slaves with 80836."
KR023,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 41",,Lottery,,"Leyland, Thomas",,1,,82379,Liverpool,Bonny,Barbados,1798-07-06,1798-08-22,,1798-11-27,,,460,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study
KR024,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 42",,Lottery,,"Leyland, Thomas",,1,,82381,Liverpool,Bonny,,1802-05-21,,,,,,305,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study
KR025,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 43",,Enterprize,,"Leyland, Thomas",,1,,81302,Liverpool,Bonny,Havana,1803-07-20,1803-09-23,1803-12-06,1804-01-09,1804-04-26,,412,1,with estimates,yes,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study
KR026,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 44",,Fortune,,"Leyland, Thomas",,1,,81497,Liverpool,Congo,Nassau,1805-04-25,1805-07-16,1805-11-10,1805-12-21,1806-05-02,,443,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study
KR027,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/2",,Ranger,,"Tuohy, David",,1,,91273,,Angola,,,,,,,,,1,no,no,,,
KR028,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/3",,Sally,,"Tuohy, David",,1,,91328,,Windward & Gold Coast,,,,,,,,,0.125,no,no,,,
KR029,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/4",,Corsican Hero,,"Tuohy, David",,1,,91642,,Annamaboe,,1771-02-09,,,,,,,1,no,no,,,
KR030,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/5",,Tom,,"Tuohy, David",,1,,91751,,,,,,,,,,,1,no,no,,,
KR031,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/7",,Nancy,,"Tuohy, David",,1,,92551,,,,,,,,,,,1,no,no,,,
KR032,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/9",,Blayds,,"Tuohy, David",,1,,80578,,,,,,,,,,,1,no,no,,,
KR033,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/10",,Ingram,,"Tuohy, David",,1,,81906,,,,,,,,,,,1,no,no,,,
KR034,Voyage,Klas Rönnbäck,Investor,English,"Robert Bostock papers, Liverpool Records Office, 387 MD 54",,Kite,,"Bostock, Robert",,1,,82173,,,,,,,,,,,1,no,no,,,
KR035,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80455,,,,,,,,,,,1,no,no,,,
KR036,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Betsey,,"Lumley, Thomas",,1,,80539,,,,,,,,,,,1,no,no,,,
KR037,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80456,,,,,,,,,,,1,no,no,,,
KR038,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/57 (taken from Joseph Inikori’s 1981 article, table 5)",,Frederick,,"Lumley, Thomas",,1,,81511,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
KR039,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Harriott,,"Lumley, Thomas",,1,,81737,,,,,,,,,,,1,no,no,,,
